"Method","Trait","pval","estimate","se","lower","upper","length"
"FLOW-MR-indirect",2,1e-04,0.641,0,0.337,0.962,0.625
"FLOW-MR-indirect",2,1e-06,0.682,0,0.382,0.991,0.609
"FLOW-MR-indirect",2,1e-08,0.739,0,0.414,1.096,0.682
"MVMR-IVW",2,0.01,0.041,0.059,-0.074,0.157,0.231
"MVMR-IVW",2,1e-04,0.034,0.066,-0.096,0.164,0.26
"MVMR-IVW",2,1e-06,0.044,0.071,-0.094,0.182,0.276
"MVMR-IVW",2,1e-08,0.025,0.072,-0.117,0.167,0.284
"GRAPPLE",2,0.01,0.191,0.176,-0.155,0.536,0.691
"GRAPPLE",2,1e-04,0.179,0.21,-0.233,0.591,0.824
"GRAPPLE",2,1e-06,0.17,0.188,-0.198,0.538,0.736
"GRAPPLE",2,1e-08,0.118,0.191,-0.257,0.493,0.75
"MVMR-Egger",2,0.01,0.04,0.059,-0.075,0.155,0.23
"MVMR-Egger",2,1e-04,0.03,0.066,-0.1,0.16,0.26
"MVMR-Egger",2,1e-06,0.043,0.071,-0.096,0.182,0.278
"MVMR-Egger",2,1e-08,0.014,0.073,-0.128,0.156,0.284
"MVMR-Robust",2,0.01,0.076,0.045,-0.012,0.165,0.177
"MVMR-Robust",2,1e-04,0.073,0.051,-0.028,0.173,0.201
"MVMR-Robust",2,1e-06,0.079,0.054,-0.028,0.185,0.213
"MVMR-Robust",2,1e-08,0.052,0.054,-0.055,0.158,0.213
"MVMR-cML",2,0.01,0.717,0.165,0.393,1.04,0.647
"MVMR-cML",2,1e-04,0.828,0.195,0.446,1.211,0.765
"MVMR-cML",2,1e-06,0.79,0.217,0.365,1.215,0.85
"MVMR-cML",2,1e-08,0.411,0.167,0.084,0.738,0.654
"FLOW-MR",2,0.01,0.183,0.135,-0.076,0.457,0.533
"FLOW-MR",2,1e-04,0.192,0.153,-0.101,0.502,0.603
"FLOW-MR",2,1e-06,0.198,0.149,-0.096,0.495,0.591
"FLOW-MR",2,1e-08,0.156,0.154,-0.144,0.464,0.608
"MVMR-Horse",2,0.01,0.121,0.077,-0.033,0.271,0.304
"MVMR-Horse",2,1e-04,0.114,0.084,-0.053,0.278,0.331
"MVMR-Horse",2,1e-06,0.126,0.079,-0.034,0.277,0.311
"MVMR-Horse",2,1e-08,0.077,0.081,-0.08,0.238,0.318
"FLOW-MR-indirect",2,0.01,0.685,0,0.462,0.923,0.461
"FLOW-MR-indirect",2,1e-04,0.688,0,0.435,0.963,0.528
"FLOW-MR-indirect",2,1e-06,0.684,0,0.432,0.957,0.525
"FLOW-MR-indirect",2,1e-08,0.756,0,0.488,1.038,0.55
"MVMR-IVW",2,0.01,-0.025,0.065,-0.153,0.103,0.256
"MVMR-IVW",2,1e-04,-0.006,0.071,-0.145,0.134,0.279
"MVMR-IVW",2,1e-06,0.043,0.077,-0.107,0.193,0.3
"MVMR-IVW",2,1e-08,0.021,0.078,-0.133,0.175,0.308
"GRAPPLE",2,0.01,-0.168,0.248,-0.654,0.318,0.972
"GRAPPLE",2,1e-04,-0.052,0.259,-0.56,0.455,1.015
"GRAPPLE",2,1e-06,0.179,0.241,-0.294,0.652,0.946
"GRAPPLE",2,1e-08,0.071,0.261,-0.441,0.583,1.024
"MVMR-Egger",2,0.01,-0.03,0.065,-0.158,0.098,0.256
"MVMR-Egger",2,1e-04,-0.006,0.071,-0.145,0.133,0.278
"MVMR-Egger",2,1e-06,0.047,0.077,-0.103,0.198,0.301
"MVMR-Egger",2,1e-08,0.031,0.078,-0.122,0.185,0.307
"MVMR-Robust",2,0.01,-0.018,0.057,-0.129,0.094,0.223
"MVMR-Robust",2,1e-04,0.014,0.061,-0.106,0.133,0.239
"MVMR-Robust",2,1e-06,0.067,0.063,-0.057,0.19,0.247
"MVMR-Robust",2,1e-08,0.033,0.064,-0.092,0.158,0.25
"MVMR-cML",2,0.01,-0.849,0.176,-1.193,-0.505,0.688
"MVMR-cML",2,1e-04,0.482,0.145,0.197,0.766,0.569
"MVMR-cML",2,1e-06,0.749,0.204,0.349,1.15,0.801
"MVMR-cML",2,1e-08,0.388,0.129,0.136,0.641,0.505
"FLOW-MR",2,0.01,0.12,0.175,-0.22,0.467,0.687
"FLOW-MR",2,1e-04,0.168,0.171,-0.166,0.501,0.667
"FLOW-MR",2,1e-06,0.23,0.171,-0.101,0.563,0.664
"FLOW-MR",2,1e-08,0.19,0.166,-0.125,0.527,0.652
"MVMR-Horse",2,0.01,-0.031,0.088,-0.205,0.141,0.346
"MVMR-Horse",2,1e-04,0.012,0.087,-0.159,0.182,0.341
"MVMR-Horse",2,1e-06,0.084,0.092,-0.099,0.265,0.364
"MVMR-Horse",2,1e-08,0.038,0.089,-0.134,0.21,0.344
"FLOW-MR-indirect",2,0.01,0.619,0,0.325,0.918,0.593
"FLOW-MR-indirect",2,1e-04,0.61,0,0.321,0.916,0.595
"FLOW-MR-indirect",2,1e-06,0.577,0,0.282,0.889,0.607
"FLOW-MR-indirect",2,1e-08,0.619,0,0.329,0.911,0.582
"MVMR-IVW",2,0.01,0.049,0.073,-0.095,0.192,0.287
"MVMR-IVW",2,1e-04,0.026,0.081,-0.132,0.184,0.316
"MVMR-IVW",2,1e-06,0.077,0.086,-0.092,0.246,0.338
"MVMR-IVW",2,1e-08,0.136,0.089,-0.037,0.31,0.347
"GRAPPLE",2,0.01,2.465,3.226,-3.859,8.788,12.647
"GRAPPLE",2,1e-04,0.923,1.341,-1.704,3.551,5.255
"GRAPPLE",2,1e-06,2.92,4.596,-6.088,11.929,18.017
"GRAPPLE",2,1e-08,4.869,8.808,-12.396,22.134,34.53
"MVMR-Egger",2,0.01,0.047,0.073,-0.097,0.19,0.287
"MVMR-Egger",2,1e-04,0.023,0.081,-0.135,0.181,0.316
"MVMR-Egger",2,1e-06,0.078,0.087,-0.092,0.248,0.34
"MVMR-Egger",2,1e-08,0.135,0.089,-0.039,0.309,0.348
"MVMR-Robust",2,0.01,0.065,0.079,-0.09,0.22,0.31
"MVMR-Robust",2,1e-04,0.05,0.084,-0.114,0.214,0.328
"MVMR-Robust",2,1e-06,0.071,0.086,-0.098,0.241,0.339
"MVMR-Robust",2,1e-08,0.1,0.079,-0.055,0.256,0.311
"MVMR-cML",2,0.01,0.881,0.165,0.557,1.205,0.648
"MVMR-cML",2,1e-04,0.952,0.202,0.556,1.349,0.793
"MVMR-cML",2,1e-06,0.93,0.206,0.527,1.334,0.807
"MVMR-cML",2,1e-08,0.944,0.232,0.489,1.399,0.91
"FLOW-MR",2,0.01,0.39,0.229,-0.046,0.841,0.887
"FLOW-MR",2,1e-04,0.362,0.243,-0.109,0.867,0.976
"FLOW-MR",2,1e-06,0.398,0.247,-0.069,0.909,0.978
"FLOW-MR",2,1e-08,0.457,0.229,0.032,0.929,0.897
"MVMR-Horse",2,0.01,0.161,0.132,-0.108,0.41,0.518
"MVMR-Horse",2,1e-04,0.151,0.136,-0.125,0.408,0.533
"MVMR-Horse",2,1e-06,0.177,0.151,-0.112,0.475,0.587
"MVMR-Horse",2,1e-08,0.238,0.129,-0.012,0.493,0.505
"FLOW-MR-indirect",2,0.01,0.526,0,0.135,0.914,0.779
"FLOW-MR-indirect",2,1e-04,0.575,0,0.151,0.984,0.833
"FLOW-MR-indirect",2,1e-06,0.522,0,0.107,0.945,0.838
"FLOW-MR-indirect",2,1e-08,0.468,0,0.07,0.847,0.777
"MVMR-IVW",2,0.01,0.066,0.066,-0.063,0.195,0.258
"MVMR-IVW",2,1e-04,0.059,0.072,-0.082,0.201,0.283
"MVMR-IVW",2,1e-06,0.031,0.079,-0.124,0.186,0.31
"MVMR-IVW",2,1e-08,0.058,0.08,-0.099,0.216,0.315
"GRAPPLE",2,0.01,0.194,0.27,-0.337,0.724,1.061
"GRAPPLE",2,1e-04,0.19,0.274,-0.347,0.726,1.073
"GRAPPLE",2,1e-06,0.171,0.269,-0.356,0.698,1.054
"GRAPPLE",2,1e-08,0.216,0.261,-0.296,0.729,1.025
"MVMR-Egger",2,0.01,0.066,0.066,-0.064,0.196,0.26
"MVMR-Egger",2,1e-04,0.058,0.073,-0.084,0.2,0.284
"MVMR-Egger",2,1e-06,0.032,0.08,-0.124,0.187,0.311
"MVMR-Egger",2,1e-08,0.057,0.081,-0.101,0.215,0.316
"MVMR-Robust",2,0.01,0.069,0.054,-0.037,0.174,0.211
"MVMR-Robust",2,1e-04,0.063,0.06,-0.054,0.18,0.234
"MVMR-Robust",2,1e-06,0.057,0.065,-0.071,0.184,0.255
"MVMR-Robust",2,1e-08,0.07,0.065,-0.057,0.198,0.255
"MVMR-cML",2,0.01,0.945,0.204,0.545,1.344,0.799
"MVMR-cML",2,1e-04,0.919,0.218,0.492,1.345,0.853
"MVMR-cML",2,1e-06,0.893,0.231,0.44,1.346,0.906
"MVMR-cML",2,1e-08,0.99,0.257,0.486,1.494,1.008
"FLOW-MR",2,0.01,0.256,0.187,-0.101,0.645,0.746
"FLOW-MR",2,1e-04,0.228,0.188,-0.126,0.613,0.739
"FLOW-MR",2,1e-06,0.189,0.193,-0.186,0.578,0.764
"FLOW-MR",2,1e-08,0.22,0.194,-0.155,0.605,0.76
"MVMR-Horse",2,0.01,0.092,0.085,-0.073,0.262,0.335
"MVMR-Horse",2,1e-04,0.084,0.091,-0.088,0.271,0.359
"MVMR-Horse",2,1e-06,0.078,0.093,-0.103,0.258,0.361
"MVMR-Horse",2,1e-08,0.09,0.092,-0.087,0.268,0.355
"FLOW-MR-indirect",2,0.01,0.637,0,0.348,0.954,0.606
"FLOW-MR-indirect",2,1e-04,0.689,0,0.391,0.993,0.602
"FLOW-MR-indirect",2,1e-06,0.724,0,0.416,1.062,0.646
"FLOW-MR-indirect",2,1e-08,0.698,0,0.379,1.034,0.655
"MVMR-IVW",2,0.01,0.12,0.063,-0.003,0.244,0.247
"MVMR-IVW",2,1e-04,0.151,0.07,0.014,0.287,0.273
"MVMR-IVW",2,1e-06,0.133,0.076,-0.016,0.281,0.297
"MVMR-IVW",2,1e-08,0.143,0.076,-0.005,0.292,0.297
"GRAPPLE",2,0.01,0.427,0.301,-0.163,1.017,1.18
"GRAPPLE",2,1e-04,0.687,0.353,-0.005,1.378,1.383
"GRAPPLE",2,1e-06,0.548,0.359,-0.156,1.251,1.407
"GRAPPLE",2,1e-08,0.451,0.282,-0.102,1.004,1.106
"MVMR-Egger",2,0.01,0.117,0.063,-0.007,0.24,0.247
"MVMR-Egger",2,1e-04,0.149,0.069,0.013,0.285,0.272
"MVMR-Egger",2,1e-06,0.131,0.076,-0.017,0.28,0.297
"MVMR-Egger",2,1e-08,0.142,0.076,-0.006,0.29,0.296
"MVMR-Robust",2,0.01,0.105,0.054,-0.002,0.211,0.213
"MVMR-Robust",2,1e-04,0.138,0.058,0.023,0.252,0.229
"MVMR-Robust",2,1e-06,0.137,0.061,0.017,0.256,0.239
"MVMR-Robust",2,1e-08,0.154,0.061,0.034,0.274,0.24
"MVMR-cML",2,0.01,0.866,0.198,0.477,1.255,0.778
"MVMR-cML",2,1e-04,1.163,0.239,0.694,1.632,0.938
"MVMR-cML",2,1e-06,1.067,0.259,0.56,1.573,1.013
"MVMR-cML",2,1e-08,1.175,0.275,0.637,1.713,1.076
"FLOW-MR",2,0.01,0.337,0.185,-0.015,0.721,0.736
"FLOW-MR",2,1e-04,0.386,0.197,0.015,0.809,0.794
"FLOW-MR",2,1e-06,0.363,0.194,-0.009,0.754,0.763
"FLOW-MR",2,1e-08,0.367,0.18,0.021,0.723,0.702
"MVMR-Horse",2,0.01,0.191,0.096,0.002,0.389,0.387
"MVMR-Horse",2,1e-04,0.232,0.093,0.05,0.416,0.366
"MVMR-Horse",2,1e-06,0.25,0.102,0.044,0.456,0.412
"MVMR-Horse",2,1e-08,0.259,0.096,0.072,0.454,0.382
"FLOW-MR-indirect",2,0.01,0.561,0,0.253,0.87,0.617
"FLOW-MR-indirect",2,1e-04,0.543,0,0.198,0.865,0.667
"FLOW-MR-indirect",2,1e-06,0.551,0,0.221,0.87,0.649
"FLOW-MR-indirect",2,1e-08,0.556,0,0.247,0.873,0.626
"MVMR-IVW",2,0.01,0.039,0.067,-0.092,0.169,0.261
"MVMR-IVW",2,1e-04,0.052,0.073,-0.09,0.194,0.284
"MVMR-IVW",2,1e-06,0.041,0.078,-0.112,0.195,0.307
"MVMR-IVW",2,1e-08,0.03,0.081,-0.129,0.19,0.319
"GRAPPLE",2,0.01,0.004,0.201,-0.389,0.397,0.786
"GRAPPLE",2,1e-04,0.039,0.211,-0.376,0.453,0.829
"GRAPPLE",2,1e-06,0.029,0.201,-0.365,0.424,0.789
"GRAPPLE",2,1e-08,-0.006,0.211,-0.42,0.407,0.827
"MVMR-Egger",2,0.01,0.021,0.067,-0.111,0.152,0.263
"MVMR-Egger",2,1e-04,0.036,0.073,-0.106,0.179,0.285
"MVMR-Egger",2,1e-06,0.036,0.079,-0.118,0.19,0.308
"MVMR-Egger",2,1e-08,0.023,0.081,-0.136,0.182,0.318
"MVMR-Robust",2,0.01,0.009,0.06,-0.108,0.126,0.234
"MVMR-Robust",2,1e-04,0.032,0.067,-0.099,0.162,0.261
"MVMR-Robust",2,1e-06,0.032,0.072,-0.109,0.173,0.282
"MVMR-Robust",2,1e-08,0.02,0.074,-0.125,0.165,0.29
"MVMR-cML",2,0.01,-0.726,0.146,-1.011,-0.441,0.57
"MVMR-cML",2,1e-04,-0.892,0.205,-1.294,-0.49,0.804
"MVMR-cML",2,1e-06,-0.608,0.184,-0.97,-0.247,0.723
"MVMR-cML",2,1e-08,-0.755,0.216,-1.178,-0.333,0.845
"FLOW-MR",2,0.01,0.183,0.178,-0.155,0.542,0.697
"FLOW-MR",2,1e-04,0.246,0.201,-0.14,0.663,0.803
"FLOW-MR",2,1e-06,0.23,0.207,-0.165,0.651,0.816
"FLOW-MR",2,1e-08,0.207,0.21,-0.192,0.629,0.821
"MVMR-Horse",2,0.01,0.003,0.093,-0.177,0.186,0.363
"MVMR-Horse",2,1e-04,0.054,0.105,-0.15,0.263,0.413
"MVMR-Horse",2,1e-06,0.063,0.108,-0.156,0.271,0.427
"MVMR-Horse",2,1e-08,0.037,0.108,-0.17,0.252,0.422
"FLOW-MR-indirect",2,0.01,0.709,0,0.415,1.011,0.596
"FLOW-MR-indirect",2,1e-04,0.673,0,0.324,1.012,0.688
"FLOW-MR-indirect",2,1e-06,0.694,0,0.338,1.065,0.727
"FLOW-MR-indirect",2,1e-08,0.711,0,0.355,1.076,0.721
"MVMR-IVW",2,0.01,0.041,0.065,-0.086,0.169,0.255
"MVMR-IVW",2,1e-04,0.024,0.068,-0.11,0.157,0.267
"MVMR-IVW",2,1e-06,0.039,0.074,-0.106,0.184,0.29
"MVMR-IVW",2,1e-08,0.051,0.077,-0.1,0.202,0.302
"GRAPPLE",2,0.01,0.249,0.297,-0.334,0.832,1.166
"GRAPPLE",2,1e-04,0.175,0.241,-0.298,0.648,0.946
"GRAPPLE",2,1e-06,0.172,0.255,-0.328,0.672,1
"GRAPPLE",2,1e-08,0.142,0.256,-0.36,0.643,1.003
"MVMR-Egger",2,0.01,0.041,0.065,-0.087,0.168,0.255
"MVMR-Egger",2,1e-04,0.024,0.068,-0.11,0.158,0.268
"MVMR-Egger",2,1e-06,0.039,0.074,-0.107,0.184,0.291
"MVMR-Egger",2,1e-08,0.046,0.077,-0.106,0.198,0.304
"MVMR-Robust",2,0.01,0.082,0.065,-0.046,0.21,0.256
"MVMR-Robust",2,1e-04,0.064,0.067,-0.066,0.195,0.261
"MVMR-Robust",2,1e-06,0.064,0.07,-0.074,0.201,0.275
"MVMR-Robust",2,1e-08,0.052,0.071,-0.088,0.191,0.279
"MVMR-cML",2,0.01,1.152,0.215,0.73,1.574,0.844
"MVMR-cML",2,1e-04,1.052,0.226,0.609,1.495,0.886
"MVMR-cML",2,1e-06,1.01,0.234,0.552,1.469,0.917
"MVMR-cML",2,1e-08,0.94,0.244,0.461,1.419,0.958
"FLOW-MR",2,0.01,0.295,0.218,-0.135,0.736,0.871
"FLOW-MR",2,1e-04,0.21,0.201,-0.173,0.622,0.795
"FLOW-MR",2,1e-06,0.215,0.188,-0.147,0.591,0.738
"FLOW-MR",2,1e-08,0.233,0.205,-0.161,0.638,0.799
"MVMR-Horse",2,0.01,0.182,0.106,-0.037,0.381,0.418
"MVMR-Horse",2,1e-04,0.144,0.098,-0.05,0.325,0.375
"MVMR-Horse",2,1e-06,0.126,0.103,-0.084,0.322,0.406
"MVMR-Horse",2,1e-08,0.1,0.106,-0.118,0.313,0.431
"FLOW-MR-indirect",2,0.01,0.611,0,0.26,1.004,0.744
"FLOW-MR-indirect",2,1e-04,0.657,0,0.326,1,0.674
"FLOW-MR-indirect",2,1e-06,0.647,0,0.329,0.998,0.669
"FLOW-MR-indirect",2,1e-08,0.653,0,0.302,1.011,0.709
"MVMR-IVW",2,0.01,-0.026,0.065,-0.154,0.101,0.255
"MVMR-IVW",2,1e-04,-0.024,0.071,-0.164,0.116,0.28
"MVMR-IVW",2,1e-06,-0.023,0.078,-0.175,0.13,0.305
"MVMR-IVW",2,1e-08,-0.03,0.077,-0.182,0.121,0.303
"GRAPPLE",2,0.01,-0.046,0.223,-0.482,0.39,0.872
"GRAPPLE",2,1e-04,-0.057,0.251,-0.549,0.435,0.984
"GRAPPLE",2,1e-06,-0.016,0.265,-0.536,0.504,1.04
"GRAPPLE",2,1e-08,0.032,0.259,-0.476,0.54,1.016
"MVMR-Egger",2,0.01,-0.029,0.065,-0.156,0.097,0.253
"MVMR-Egger",2,1e-04,-0.023,0.071,-0.163,0.116,0.279
"MVMR-Egger",2,1e-06,-0.022,0.078,-0.174,0.131,0.305
"MVMR-Egger",2,1e-08,-0.03,0.077,-0.181,0.122,0.303
"MVMR-Robust",2,0.01,-0.007,0.058,-0.121,0.107,0.228
"MVMR-Robust",2,1e-04,0.001,0.063,-0.122,0.124,0.246
"MVMR-Robust",2,1e-06,0.005,0.067,-0.127,0.138,0.265
"MVMR-Robust",2,1e-08,0.024,0.069,-0.112,0.16,0.272
"MVMR-cML",2,0.01,-0.939,0.188,-1.307,-0.57,0.737
"MVMR-cML",2,1e-04,-0.908,0.188,-1.275,-0.54,0.735
"MVMR-cML",2,1e-06,-0.942,0.213,-1.359,-0.525,0.834
"MVMR-cML",2,1e-08,-0.362,0.202,-0.757,0.034,0.791
"FLOW-MR",2,0.01,0.084,0.176,-0.261,0.441,0.702
"FLOW-MR",2,1e-04,0.095,0.182,-0.276,0.454,0.73
"FLOW-MR",2,1e-06,0.103,0.187,-0.264,0.473,0.737
"FLOW-MR",2,1e-08,0.107,0.18,-0.24,0.465,0.705
"MVMR-Horse",2,0.01,-0.087,0.108,-0.293,0.127,0.42
"MVMR-Horse",2,1e-04,-0.046,0.107,-0.266,0.153,0.419
"MVMR-Horse",2,1e-06,-0.044,0.108,-0.255,0.168,0.423
"MVMR-Horse",2,1e-08,-0.014,0.1,-0.219,0.19,0.409
"FLOW-MR-indirect",2,0.01,0.749,0,0.461,1.07,0.609
"FLOW-MR-indirect",2,1e-04,0.767,0,0.466,1.114,0.648
"FLOW-MR-indirect",2,1e-06,0.777,0,0.474,1.111,0.637
"FLOW-MR-indirect",2,1e-08,0.784,0,0.486,1.117,0.631
"MVMR-IVW",2,0.01,0.15,0.066,0.021,0.279,0.258
"MVMR-IVW",2,1e-04,0.11,0.071,-0.029,0.25,0.279
"MVMR-IVW",2,1e-06,0.091,0.08,-0.065,0.247,0.312
"MVMR-IVW",2,1e-08,0.109,0.083,-0.054,0.272,0.326
"GRAPPLE",2,0.01,0.573,0.245,0.093,1.053,0.96
"GRAPPLE",2,1e-04,0.428,0.256,-0.073,0.93,1.003
"GRAPPLE",2,1e-06,0.401,0.303,-0.193,0.994,1.187
"GRAPPLE",2,1e-08,0.518,0.367,-0.202,1.237,1.439
"MVMR-Egger",2,0.01,0.148,0.066,0.019,0.277,0.258
"MVMR-Egger",2,1e-04,0.116,0.071,-0.023,0.255,0.278
"MVMR-Egger",2,1e-06,0.099,0.08,-0.057,0.255,0.312
"MVMR-Egger",2,1e-08,0.129,0.083,-0.033,0.292,0.325
"MVMR-Robust",2,0.01,0.175,0.057,0.063,0.287,0.224
"MVMR-Robust",2,1e-04,0.143,0.059,0.028,0.258,0.23
"MVMR-Robust",2,1e-06,0.143,0.065,0.015,0.271,0.256
"MVMR-Robust",2,1e-08,0.139,0.066,0.01,0.268,0.258
"MVMR-cML",2,0.01,1.28,0.212,0.865,1.696,0.831
"MVMR-cML",2,1e-04,1.189,0.215,0.768,1.61,0.842
"MVMR-cML",2,1e-06,1.195,0.248,0.709,1.681,0.972
"MVMR-cML",2,1e-08,1.171,0.276,0.63,1.712,1.082
"FLOW-MR",2,0.01,0.53,0.195,0.173,0.935,0.762
"FLOW-MR",2,1e-04,0.426,0.189,0.069,0.811,0.742
"FLOW-MR",2,1e-06,0.397,0.197,0.011,0.787,0.776
"FLOW-MR",2,1e-08,0.421,0.21,0.027,0.849,0.822
"MVMR-Horse",2,0.01,0.331,0.095,0.15,0.519,0.369
"MVMR-Horse",2,1e-04,0.257,0.09,0.082,0.434,0.352
"MVMR-Horse",2,1e-06,0.271,0.092,0.09,0.449,0.359
"MVMR-Horse",2,1e-08,0.263,0.093,0.088,0.448,0.36
"FLOW-MR-indirect",2,0.01,0.42,0,0.096,0.726,0.63
"FLOW-MR-indirect",2,1e-04,0.528,0,0.205,0.837,0.632
"FLOW-MR-indirect",2,1e-06,0.549,0,0.21,0.877,0.667
"FLOW-MR-indirect",2,1e-08,0.552,0,0.183,0.917,0.734
"MVMR-IVW",2,0.01,0.076,0.067,-0.056,0.207,0.263
"MVMR-IVW",2,1e-04,0.071,0.071,-0.068,0.21,0.278
"MVMR-IVW",2,1e-06,0.041,0.08,-0.115,0.198,0.313
"MVMR-IVW",2,1e-08,0.009,0.084,-0.156,0.174,0.33
"GRAPPLE",2,0.01,0.338,0.383,-0.412,1.089,1.501
"GRAPPLE",2,1e-04,0.19,0.281,-0.361,0.741,1.102
"GRAPPLE",2,1e-06,0.17,0.348,-0.511,0.852,1.363
"GRAPPLE",2,1e-08,0.001,0.394,-0.772,0.773,1.545
"MVMR-Egger",2,0.01,0.07,0.067,-0.062,0.201,0.263
"MVMR-Egger",2,1e-04,0.065,0.071,-0.074,0.204,0.278
"MVMR-Egger",2,1e-06,0.04,0.08,-0.117,0.196,0.313
"MVMR-Egger",2,1e-08,0,0.083,-0.164,0.163,0.327
"MVMR-Robust",2,0.01,0.078,0.056,-0.032,0.188,0.22
"MVMR-Robust",2,1e-04,0.066,0.06,-0.052,0.184,0.236
"MVMR-Robust",2,1e-06,0.065,0.067,-0.067,0.197,0.264
"MVMR-Robust",2,1e-08,0.027,0.075,-0.12,0.173,0.293
"MVMR-cML",2,0.01,0.955,0.203,0.557,1.352,0.795
"MVMR-cML",2,1e-04,0.79,0.193,0.411,1.169,0.758
"MVMR-cML",2,1e-06,0.772,0.205,0.37,1.174,0.804
"MVMR-cML",2,1e-08,0.49,0.15,0.196,0.784,0.588
"FLOW-MR",2,0.01,0.196,0.179,-0.145,0.56,0.705
"FLOW-MR",2,1e-04,0.166,0.175,-0.178,0.503,0.681
"FLOW-MR",2,1e-06,0.14,0.182,-0.208,0.503,0.711
"FLOW-MR",2,1e-08,0.091,0.193,-0.284,0.488,0.772
"MVMR-Horse",2,0.01,0.144,0.093,-0.041,0.323,0.364
"MVMR-Horse",2,1e-04,0.114,0.091,-0.06,0.299,0.359
"MVMR-Horse",2,1e-06,0.114,0.097,-0.081,0.306,0.387
"MVMR-Horse",2,1e-08,0.07,0.103,-0.139,0.271,0.41
"FLOW-MR-indirect",2,0.01,0.701,0,0.398,1.02,0.622
"FLOW-MR-indirect",2,1e-04,0.728,0,0.442,1.052,0.61
"FLOW-MR-indirect",2,1e-06,0.768,0,0.459,1.109,0.65
"FLOW-MR-indirect",2,1e-08,0.818,0,0.496,1.174,0.678
"MVMR-IVW",2,0.01,-0.115,0.068,-0.248,0.019,0.267
"MVMR-IVW",2,1e-04,-0.09,0.073,-0.233,0.052,0.285
"MVMR-IVW",2,1e-06,-0.125,0.078,-0.278,0.029,0.307
"MVMR-IVW",2,1e-08,-0.092,0.08,-0.248,0.064,0.312
"GRAPPLE",2,0.01,-0.641,0.369,-1.364,0.083,1.447
"GRAPPLE",2,1e-04,-0.494,0.379,-1.237,0.248,1.485
"GRAPPLE",2,1e-06,-0.714,0.352,-1.404,-0.024,1.38
"GRAPPLE",2,1e-08,-0.557,0.387,-1.315,0.202,1.517
"MVMR-Egger",2,0.01,-0.116,0.067,-0.249,0.016,0.265
"MVMR-Egger",2,1e-04,-0.089,0.072,-0.231,0.052,0.283
"MVMR-Egger",2,1e-06,-0.125,0.078,-0.278,0.028,0.306
"MVMR-Egger",2,1e-08,-0.092,0.079,-0.247,0.064,0.311
"MVMR-Robust",2,0.01,-0.129,0.058,-0.242,-0.016,0.226
"MVMR-Robust",2,1e-04,-0.121,0.063,-0.244,0.003,0.247
"MVMR-Robust",2,1e-06,-0.169,0.067,-0.3,-0.039,0.261
"MVMR-Robust",2,1e-08,-0.125,0.07,-0.262,0.012,0.274
"MVMR-cML",2,0.01,-1.057,0.186,-1.422,-0.692,0.73
"MVMR-cML",2,1e-04,-1.123,0.22,-1.555,-0.691,0.864
"MVMR-cML",2,1e-06,-1.366,0.298,-1.951,-0.782,1.169
"MVMR-cML",2,1e-08,-1.255,0.289,-1.821,-0.689,1.132
"FLOW-MR",2,0.01,-0.209,0.198,-0.603,0.177,0.78
"FLOW-MR",2,1e-04,-0.161,0.191,-0.531,0.209,0.74
"FLOW-MR",2,1e-06,-0.183,0.184,-0.547,0.184,0.731
"FLOW-MR",2,1e-08,-0.099,0.194,-0.473,0.294,0.767
"MVMR-Horse",2,0.01,-0.298,0.098,-0.491,-0.116,0.375
"MVMR-Horse",2,1e-04,-0.256,0.091,-0.433,-0.08,0.353
"MVMR-Horse",2,1e-06,-0.297,0.086,-0.469,-0.126,0.343
"MVMR-Horse",2,1e-08,-0.226,0.091,-0.407,-0.047,0.36
"FLOW-MR-indirect",2,0.01,1.027,0,0.688,1.432,0.744
"FLOW-MR-indirect",2,1e-04,0.964,0,0.638,1.323,0.685
"FLOW-MR-indirect",2,1e-06,1,0,0.67,1.365,0.695
"FLOW-MR-indirect",2,1e-08,0.961,0,0.625,1.32,0.695
"MVMR-IVW",2,0.01,-0.063,0.072,-0.205,0.079,0.284
"MVMR-IVW",2,1e-04,-0.067,0.077,-0.218,0.085,0.303
"MVMR-IVW",2,1e-06,-0.042,0.079,-0.198,0.113,0.311
"MVMR-IVW",2,1e-08,-0.058,0.08,-0.215,0.099,0.314
"GRAPPLE",2,0.01,-6.691,22.202,-50.206,36.824,87.03
"GRAPPLE",2,1e-04,-0.383,0.451,-1.267,0.501,1.768
"GRAPPLE",2,1e-06,-0.229,0.305,-0.826,0.369,1.195
"GRAPPLE",2,1e-08,-0.24,0.283,-0.796,0.315,1.111
"MVMR-Egger",2,0.01,-0.062,0.072,-0.204,0.08,0.284
"MVMR-Egger",2,1e-04,-0.065,0.077,-0.217,0.087,0.304
"MVMR-Egger",2,1e-06,-0.042,0.08,-0.198,0.114,0.312
"MVMR-Egger",2,1e-08,-0.059,0.08,-0.216,0.098,0.314
"MVMR-Robust",2,0.01,-0.029,0.062,-0.151,0.093,0.244
"MVMR-Robust",2,1e-04,-0.036,0.063,-0.159,0.088,0.247
"MVMR-Robust",2,1e-06,-0.047,0.065,-0.174,0.081,0.255
"MVMR-Robust",2,1e-08,-0.043,0.067,-0.174,0.088,0.262
"MVMR-cML",2,0.01,-0.902,0.159,-1.214,-0.589,0.625
