"Method","Trait","pval","estimate","se","lower","upper","length"
"MVMR-Egger","2","0.01",1.025,0.112,0.805,1.244,0.439
"MVMR-Egger","2","1e-04",1.021,0.127,0.772,1.271,0.499
"MVMR-Egger","2","1e-06",1.062,0.139,0.788,1.335,0.547
"MVMR-Egger","2","1e-08",1.117,0.153,0.817,1.416,0.599
"MVMR-Robust","2","0.01",1.183,0.087,1.011,1.354,0.343
"MVMR-Robust","2","1e-04",1.186,0.098,0.994,1.378,0.384
"MVMR-Robust","2","1e-06",1.192,0.102,0.992,1.392,0.4
"MVMR-Robust","2","1e-08",1.133,0.101,0.934,1.331,0.397
"MVMR-cML","2","0.01",1.919,0.203,1.522,2.317,0.795
"MVMR-cML","2","1e-04",0.248,0.249,-0.241,0.737,0.978
"MVMR-cML","2","1e-06",0.235,0.29,-0.334,0.805,1.139
"MVMR-cML","2","1e-08",0.094,0.349,-0.589,0.778,1.367
"FLOW-MR","2","0.01",0.845,0.278,0.288,1.388,1.1
"FLOW-MR","2","1e-04",0.943,0.299,0.349,1.528,1.179
"FLOW-MR","2","1e-06",0.973,0.277,0.417,1.503,1.086
"FLOW-MR","2","1e-08",0.925,0.274,0.372,1.455,1.083
"MVMR-Horse","2","0.01",1.159,0.093,0.981,1.342,0.361
"MVMR-Horse","2","1e-04",1.171,0.102,0.984,1.384,0.4
"MVMR-Horse","2","1e-06",1.211,0.111,0.984,1.431,0.447
"MVMR-Horse","2","1e-08",1.156,0.104,0.955,1.355,0.4
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
"MVMR-IVW","2","0.01",1.231,0.089,1.056,1.406,0.35
"MVMR-IVW","2","1e-04",1.218,0.097,1.028,1.408,0.38
"MVMR-IVW","2","1e-06",1.232,0.108,1.02,1.444,0.424
"MVMR-IVW","2","1e-08",1.157,0.116,0.93,1.383,0.453
"GRAPPLE","2","0.01",0.176,0.776,-1.346,1.698,3.044
"GRAPPLE","2","1e-04",-0.242,1.422,-3.029,2.545,5.574
"GRAPPLE","2","1e-06",-6.752,30.247,-66.037,52.533,118.57
"GRAPPLE","2","1e-08",-3.919,7.984,-19.567,11.729,31.296
"MVMR-Egger","2","0.01",1.201,0.112,0.982,1.42,0.438
"MVMR-Egger","2","1e-04",1.181,0.121,0.943,1.418,0.475
"MVMR-Egger","2","1e-06",1.214,0.138,0.944,1.485,0.541
"MVMR-Egger","2","1e-08",1.184,0.147,0.896,1.472,0.576
"MVMR-Robust","2","0.01",1.203,0.07,1.066,1.341,0.275
"MVMR-Robust","2","1e-04",1.208,0.076,1.058,1.357,0.299
"MVMR-Robust","2","1e-06",1.224,0.082,1.064,1.385,0.321
"MVMR-Robust","2","1e-08",1.146,0.08,0.99,1.302,0.312
"MVMR-cML","2","0.01",-0.152,0.312,-0.764,0.459,1.223
"MVMR-cML","2","1e-04",0.031,0.288,-0.534,0.596,1.13
"MVMR-cML","2","1e-06",-0.035,0.352,-0.725,0.655,1.38
"MVMR-cML","2","1e-08",-0.26,0.401,-1.047,0.526,1.573
"FLOW-MR","2","0.01",0.944,0.244,0.428,1.386,0.958
"FLOW-MR","2","1e-04",0.916,0.266,0.352,1.405,1.053
"FLOW-MR","2","1e-06",0.913,0.286,0.319,1.462,1.143
"FLOW-MR","2","1e-08",0.848,0.271,0.3,1.356,1.056
"MVMR-Horse","2","0.01",1.172,0.088,0.995,1.335,0.34
"MVMR-Horse","2","1e-04",1.165,0.097,0.973,1.356,0.383
"MVMR-Horse","2","1e-06",1.165,0.109,0.949,1.379,0.43
"MVMR-Horse","2","1e-08",1.075,0.103,0.872,1.284,0.412
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
"MVMR-IVW","2","0.01",1.304,0.079,1.15,1.458,0.308
"MVMR-IVW","2","1e-04",1.3,0.082,1.14,1.461,0.321
"MVMR-IVW","2","1e-06",1.321,0.086,1.152,1.491,0.339
"MVMR-IVW","2","1e-08",1.343,0.094,1.159,1.528,0.369
"GRAPPLE","2","0.01",1.215,0.282,0.662,1.768,1.106
"GRAPPLE","2","1e-04",1.325,0.25,0.835,1.815,0.98
"GRAPPLE","2","1e-06",1.461,0.31,0.854,2.069,1.215
"GRAPPLE","2","1e-08",1.588,0.299,1.002,2.175,1.173
"MVMR-Egger","2","0.01",1.264,0.104,1.061,1.468,0.407
"MVMR-Egger","2","1e-04",1.269,0.112,1.05,1.487,0.437
"MVMR-Egger","2","1e-06",1.318,0.121,1.081,1.556,0.475
"MVMR-Egger","2","1e-08",1.359,0.133,1.099,1.619,0.52
"MVMR-Robust","2","0.01",1.338,0.087,1.168,1.507,0.339
"MVMR-Robust","2","1e-04",1.347,0.091,1.17,1.525,0.355
"MVMR-Robust","2","1e-06",1.354,0.099,1.159,1.548,0.389
"MVMR-Robust","2","1e-08",1.38,0.106,1.173,1.588,0.415
"MVMR-cML","2","0.01",0.487,0.219,0.058,0.915,0.857
"MVMR-cML","2","1e-04",0.73,0.211,0.317,1.142,0.825
"MVMR-cML","2","1e-06",2.192,0.25,1.703,2.682,0.979
"MVMR-cML","2","1e-08",2.343,0.307,1.742,2.945,1.203
"FLOW-MR","2","0.01",1.179,0.176,0.819,1.515,0.696
"FLOW-MR","2","1e-04",1.2,0.177,0.836,1.536,0.7
"FLOW-MR","2","1e-06",1.227,0.201,0.828,1.608,0.78
"FLOW-MR","2","1e-08",1.277,0.202,0.873,1.666,0.793
"MVMR-Horse","2","0.01",1.355,0.09,1.182,1.53,0.348
"MVMR-Horse","2","1e-04",1.384,0.088,1.212,1.558,0.346
"MVMR-Horse","2","1e-06",1.402,0.094,1.22,1.579,0.359
"MVMR-Horse","2","1e-08",1.44,0.102,1.238,1.644,0.406
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
"MVMR-IVW","2","0.01",1.302,0.089,1.127,1.477,0.35
"MVMR-IVW","2","1e-04",1.34,0.089,1.166,1.514,0.348
"MVMR-IVW","2","1e-06",1.344,0.096,1.156,1.532,0.376
"MVMR-IVW","2","1e-08",1.308,0.104,1.104,1.511,0.407
"GRAPPLE","2","0.01",1.193,0.441,0.327,2.058,1.731
"GRAPPLE","2","1e-04",1.518,0.521,0.498,2.539,2.041
"GRAPPLE","2","1e-06",1.493,0.598,0.321,2.666,2.345
"GRAPPLE","2","1e-08",1.238,0.507,0.244,2.232,1.988
"MVMR-Egger","2","0.01",1.272,0.114,1.05,1.495,0.445
"MVMR-Egger","2","1e-04",1.308,0.117,1.079,1.537,0.458
"MVMR-Egger","2","1e-06",1.346,0.127,1.096,1.596,0.5
"MVMR-Egger","2","1e-08",1.305,0.142,1.028,1.583,0.555
"MVMR-Robust","2","0.01",1.334,0.087,1.163,1.504,0.341
"MVMR-Robust","2","1e-04",1.392,0.087,1.222,1.562,0.34
"MVMR-Robust","2","1e-06",1.374,0.092,1.194,1.554,0.36
"MVMR-Robust","2","1e-08",1.332,0.098,1.14,1.524,0.384
"MVMR-cML","2","0.01",0.378,0.248,-0.109,0.864,0.973
"MVMR-cML","2","1e-04",2.01,0.228,1.562,2.458,0.896
"MVMR-cML","2","1e-06",2.201,0.289,1.635,2.768,1.133
"MVMR-cML","2","1e-08",0.468,0.302,-0.125,1.06,1.185
"FLOW-MR","2","0.01",1.093,0.273,0.514,1.619,1.105
"FLOW-MR","2","1e-04",1.267,0.253,0.755,1.753,0.998
"FLOW-MR","2","1e-06",1.291,0.252,0.777,1.782,1.005
"FLOW-MR","2","1e-08",1.187,0.262,0.656,1.675,1.019
"MVMR-Horse","2","0.01",1.39,0.091,1.211,1.572,0.361
"MVMR-Horse","2","1e-04",1.479,0.089,1.304,1.648,0.344
"MVMR-Horse","2","1e-06",1.476,0.102,1.274,1.671,0.397
"MVMR-Horse","2","1e-08",1.393,0.111,1.176,1.611,0.435
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
"MVMR-IVW","2","0.01",1.248,0.087,1.077,1.418,0.341
"MVMR-IVW","2","1e-04",1.164,0.091,0.984,1.343,0.359
"MVMR-IVW","2","1e-06",1.128,0.097,0.939,1.317,0.378
"MVMR-IVW","2","1e-08",1.15,0.105,0.944,1.355,0.411
"GRAPPLE","2","0.01",0.725,0.325,0.088,1.361,1.273
"GRAPPLE","2","1e-04",0.515,0.321,-0.115,1.145,1.26
"GRAPPLE","2","1e-06",0.185,0.417,-0.633,1.002,1.635
"GRAPPLE","2","1e-08",0.589,0.32,-0.039,1.217,1.256
"MVMR-Egger","2","0.01",1.215,0.11,0.999,1.43,0.431
"MVMR-Egger","2","1e-04",1.183,0.118,0.952,1.415,0.463
"MVMR-Egger","2","1e-06",1.185,0.129,0.932,1.438,0.506
"MVMR-Egger","2","1e-08",1.184,0.139,0.912,1.457,0.545
"MVMR-Robust","2","0.01",1.274,0.083,1.111,1.436,0.325
"MVMR-Robust","2","1e-04",1.192,0.086,1.024,1.36,0.336
"MVMR-Robust","2","1e-06",1.165,0.091,0.986,1.343,0.357
"MVMR-Robust","2","1e-08",1.195,0.099,1.001,1.39,0.389
"MVMR-cML","2","0.01",0.114,0.246,-0.368,0.596,0.964
"MVMR-cML","2","1e-04",-0.145,0.315,-0.764,0.473,1.237
"MVMR-cML","2","1e-06",-0.323,0.38,-1.067,0.421,1.488
"MVMR-cML","2","1e-08",-0.07,0.349,-0.754,0.614,1.368
"FLOW-MR","2","0.01",1.012,0.24,0.511,1.447,0.936
"FLOW-MR","2","1e-04",0.829,0.24,0.327,1.267,0.94
"FLOW-MR","2","1e-06",0.825,0.235,0.351,1.281,0.93
"FLOW-MR","2","1e-08",0.851,0.246,0.349,1.319,0.97
"MVMR-Horse","2","0.01",1.325,0.089,1.149,1.496,0.347
"MVMR-Horse","2","1e-04",1.216,0.097,1.016,1.402,0.386
"MVMR-Horse","2","1e-06",1.195,0.097,0.992,1.387,0.395
"MVMR-Horse","2","1e-08",1.222,0.108,1.007,1.429,0.422
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
"MVMR-IVW","2","0.01",1.141,0.084,0.976,1.305,0.329
"MVMR-IVW","2","1e-04",1.124,0.089,0.949,1.299,0.35
"MVMR-IVW","2","1e-06",1.165,0.093,0.982,1.348,0.366
"MVMR-IVW","2","1e-08",1.162,0.099,0.969,1.356,0.387
"GRAPPLE","2","0.01",0.839,0.27,0.31,1.367,1.057
"GRAPPLE","2","1e-04",0.791,0.299,0.205,1.378,1.173
"GRAPPLE","2","1e-06",0.994,0.262,0.48,1.507,1.027
"GRAPPLE","2","1e-08",1.025,0.214,0.606,1.444,0.838
"MVMR-Egger","2","0.01",1.13,0.109,0.916,1.344,0.428
"MVMR-Egger","2","1e-04",1.131,0.118,0.899,1.362,0.463
"MVMR-Egger","2","1e-06",1.191,0.125,0.945,1.437,0.492
"MVMR-Egger","2","1e-08",1.241,0.135,0.977,1.505,0.528
"MVMR-Robust","2","0.01",1.149,0.067,1.018,1.28,0.262
"MVMR-Robust","2","1e-04",1.14,0.073,0.996,1.284,0.288
"MVMR-Robust","2","1e-06",1.179,0.077,1.028,1.33,0.302
"MVMR-Robust","2","1e-08",1.167,0.077,1.015,1.319,0.304
"MVMR-cML","2","0.01",0.134,0.247,-0.351,0.618,0.969
"MVMR-cML","2","1e-04",0.032,0.273,-0.502,0.567,1.069
"MVMR-cML","2","1e-06",0.231,0.275,-0.307,0.77,1.077
"MVMR-cML","2","1e-08",0.593,0.189,0.222,0.964,0.742
"FLOW-MR","2","0.01",0.972,0.183,0.595,1.314,0.719
"FLOW-MR","2","1e-04",0.954,0.198,0.545,1.315,0.77
"FLOW-MR","2","1e-06",1.036,0.196,0.626,1.416,0.79
"FLOW-MR","2","1e-08",1.055,0.203,0.643,1.444,0.801
"MVMR-Horse","2","0.01",1.169,0.083,1.005,1.333,0.328
"MVMR-Horse","2","1e-04",1.144,0.09,0.967,1.316,0.349
"MVMR-Horse","2","1e-06",1.184,0.093,0.998,1.365,0.367
"MVMR-Horse","2","1e-08",1.184,0.092,1.007,1.371,0.364
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
"MVMR-IVW","2","0.01",1.289,0.084,1.124,1.454,0.33
"MVMR-IVW","2","1e-04",1.263,0.091,1.085,1.441,0.356
"MVMR-IVW","2","1e-06",1.274,0.095,1.088,1.461,0.373
"MVMR-IVW","2","1e-08",1.249,0.099,1.056,1.443,0.387
"GRAPPLE","2","0.01",0.766,0.845,-0.89,2.422,3.312
"GRAPPLE","2","1e-04",-8.019,80.413,-165.628,149.59,315.218
"GRAPPLE","2","1e-06",1.168,1.756,-2.274,4.61,6.884
"GRAPPLE","2","1e-08",1.112,1.038,-0.923,3.146,4.069
"MVMR-Egger","2","0.01",1.232,0.106,1.025,1.438,0.413
"MVMR-Egger","2","1e-04",1.259,0.113,1.037,1.481,0.444
"MVMR-Egger","2","1e-06",1.282,0.12,1.047,1.517,0.47
"MVMR-Egger","2","1e-08",1.372,0.129,1.12,1.624,0.504
"MVMR-Robust","2","0.01",1.265,0.085,1.1,1.431,0.331
"MVMR-Robust","2","1e-04",1.278,0.097,1.088,1.467,0.379
"MVMR-Robust","2","1e-06",1.275,0.1,1.079,1.47,0.391
"MVMR-Robust","2","1e-08",1.245,0.104,1.041,1.449,0.408
"MVMR-cML","2","0.01",0.344,0.24,-0.126,0.814,0.94
"MVMR-cML","2","1e-04",2.128,0.212,1.713,2.543,0.83
"MVMR-cML","2","1e-06",0.249,0.301,-0.342,0.839,1.181
"MVMR-cML","2","1e-08",0.094,0.353,-0.598,0.786,1.384
"FLOW-MR","2","0.01",1.019,0.178,0.663,1.359,0.696
"FLOW-MR","2","1e-04",0.976,0.235,0.495,1.422,0.927
"FLOW-MR","2","1e-06",1.047,0.238,0.571,1.512,0.941
"FLOW-MR","2","1e-08",1.022,0.252,0.513,1.508,0.995
"MVMR-Horse","2","0.01",1.262,0.098,1.072,1.451,0.379
"MVMR-Horse","2","1e-04",1.265,0.116,1.03,1.483,0.453
"MVMR-Horse","2","1e-06",1.261,0.116,1.033,1.504,0.471
"MVMR-Horse","2","1e-08",1.218,0.114,0.996,1.445,0.449
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
"MVMR-IVW","2","0.01",1.249,0.087,1.078,1.419,0.341
"MVMR-IVW","2","1e-04",1.261,0.094,1.076,1.446,0.37
"MVMR-IVW","2","1e-06",1.22,0.1,1.024,1.415,0.391
"MVMR-IVW","2","1e-08",1.209,0.107,0.999,1.419,0.42
"GRAPPLE","2","0.01",0.965,0.316,0.346,1.583,1.237
"GRAPPLE","2","1e-04",0.827,0.419,0.006,1.647,1.641
"GRAPPLE","2","1e-06",0.782,0.41,-0.022,1.586,1.608
"GRAPPLE","2","1e-08",0.902,0.382,0.154,1.651,1.497
"MVMR-Egger","2","0.01",1.239,0.11,1.022,1.455,0.433
"MVMR-Egger","2","1e-04",1.229,0.126,0.981,1.476,0.495
"MVMR-Egger","2","1e-06",1.228,0.137,0.959,1.497,0.538
"MVMR-Egger","2","1e-08",1.276,0.15,0.982,1.57,0.588
"MVMR-Robust","2","0.01",1.212,0.092,1.032,1.392,0.36
"MVMR-Robust","2","1e-04",1.204,0.1,1.008,1.399,0.391
"MVMR-Robust","2","1e-06",1.184,0.101,0.986,1.382,0.396
"MVMR-Robust","2","1e-08",1.174,0.103,0.972,1.376,0.404
"MVMR-cML","2","0.01",-0.021,0.28,-0.57,0.529,1.099
"MVMR-cML","2","1e-04",-0.004,0.298,-0.588,0.58,1.168
"MVMR-cML","2","1e-06",-0.043,0.332,-0.694,0.608,1.302
"MVMR-cML","2","1e-08",0.046,0.326,-0.593,0.685,1.278
"FLOW-MR","2","0.01",0.967,0.169,0.626,1.294,0.668
"FLOW-MR","2","1e-04",0.991,0.204,0.575,1.387,0.812
"FLOW-MR","2","1e-06",0.971,0.219,0.524,1.396,0.872
"FLOW-MR","2","1e-08",0.973,0.226,0.509,1.416,0.907
"MVMR-Horse","2","0.01",1.2,0.087,1.032,1.373,0.341
"MVMR-Horse","2","1e-04",1.207,0.091,1.037,1.393,0.356
"MVMR-Horse","2","1e-06",1.191,0.099,1,1.384,0.384
"MVMR-Horse","2","1e-08",1.178,0.1,0.986,1.377,0.391
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
"MVMR-IVW","2","0.01",1.237,0.084,1.072,1.403,0.331
"MVMR-IVW","2","1e-04",1.229,0.089,1.055,1.403,0.348
"MVMR-IVW","2","1e-06",1.247,0.094,1.063,1.431,0.368
"MVMR-IVW","2","1e-08",1.239,0.102,1.038,1.439,0.401
"GRAPPLE","2","0.01",0.814,0.341,0.145,1.483,1.338
"GRAPPLE","2","1e-04",0.832,0.301,0.242,1.421,1.179
"GRAPPLE","2","1e-06",0.934,0.388,0.173,1.695,1.522
"GRAPPLE","2","1e-08",0.941,0.39,0.177,1.706,1.529
"MVMR-Egger","2","0.01",1.192,0.109,0.978,1.406,0.428
"MVMR-Egger","2","1e-04",1.19,0.117,0.961,1.418,0.457
"MVMR-Egger","2","1e-06",1.266,0.125,1.021,1.512,0.491
"MVMR-Egger","2","1e-08",1.259,0.143,0.979,1.539,0.56
"MVMR-Robust","2","0.01",1.232,0.085,1.066,1.399,0.333
"MVMR-Robust","2","1e-04",1.211,0.09,1.035,1.387,0.352
"MVMR-Robust","2","1e-06",1.236,0.095,1.05,1.422,0.372
"MVMR-Robust","2","1e-08",1.225,0.102,1.026,1.424,0.398
"MVMR-cML","2","0.01",-0.057,0.301,-0.648,0.533,1.181
"MVMR-cML","2","1e-04",-0.085,0.331,-0.734,0.563,1.297
"MVMR-cML","2","1e-06",0.198,0.297,-0.384,0.779,1.163
"MVMR-cML","2","1e-08",0.167,0.31,-0.44,0.773,1.213
"FLOW-MR","2","0.01",0.909,0.22,0.444,1.31,0.866
"FLOW-MR","2","1e-04",0.968,0.199,0.554,1.339,0.785
"FLOW-MR","2","1e-06",1.004,0.215,0.581,1.419,0.838
"FLOW-MR","2","1e-08",1.028,0.217,0.585,1.447,0.862
"MVMR-Horse","2","0.01",1.228,0.082,1.063,1.385,0.322
"MVMR-Horse","2","1e-04",1.229,0.086,1.06,1.402,0.342
"MVMR-Horse","2","1e-06",1.238,0.094,1.05,1.418,0.368
"MVMR-Horse","2","1e-08",1.231,0.103,1.034,1.432,0.398
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
"MVMR-IVW","2","0.01",1.141,0.092,0.961,1.321,0.36
"MVMR-IVW","2","1e-04",1.149,0.097,0.959,1.339,0.38
"MVMR-IVW","2","1e-06",1.155,0.106,0.946,1.364,0.418
"MVMR-IVW","2","1e-08",1.126,0.115,0.9,1.352,0.452
"GRAPPLE","2","0.01",-2.332,3.847,-9.871,5.207,15.078
"GRAPPLE","2","1e-04",-1.627,3.546,-8.578,5.324,13.902
"GRAPPLE","2","1e-06",-6.07,37.424,-79.422,67.282,146.704
"GRAPPLE","2","1e-08",-6.104,24.335,-53.801,41.594,95.395
"MVMR-Egger","2","0.01",1.098,0.119,0.864,1.332,0.468
"MVMR-Egger","2","1e-04",1.151,0.127,0.902,1.399,0.497
"MVMR-Egger","2","1e-06",1.221,0.137,0.952,1.49,0.538
"MVMR-Egger","2","1e-08",1.16,0.151,0.865,1.456,0.591
"MVMR-Robust","2","0.01",1.19,0.1,0.994,1.386,0.392
"MVMR-Robust","2","1e-04",1.197,0.11,0.981,1.413,0.432
"MVMR-Robust","2","1e-06",1.145,0.119,0.912,1.378,0.466
"MVMR-Robust","2","1e-08",1.105,0.124,0.862,1.347,0.485
"MVMR-cML","2","0.01",-0.064,0.292,-0.636,0.508,1.144
"MVMR-cML","2","1e-04",0.023,0.303,-0.571,0.616,1.187
"MVMR-cML","2","1e-06",-0.066,0.366,-0.783,0.652,1.435
"MVMR-cML","2","1e-08",-0.139,0.408,-0.939,0.661,1.6
"FLOW-MR","2","0.01",0.799,0.262,0.228,1.273,1.045
"FLOW-MR","2","1e-04",0.873,0.26,0.329,1.364,1.035
"FLOW-MR","2","1e-06",0.85,0.27,0.312,1.371,1.059
"FLOW-MR","2","1e-08",0.814,0.282,0.242,1.367,1.125
"MVMR-Horse","2","0.01",1.204,0.1,1.01,1.402,0.392
"MVMR-Horse","2","1e-04",1.219,0.103,1.02,1.429,0.409
"MVMR-Horse","2","1e-06",1.138,0.107,0.94,1.354,0.414
"MVMR-Horse","2","1e-08",1.103,0.107,0.892,1.313,0.421
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
"MVMR-IVW","2","0.01",1.162,0.083,0.999,1.326,0.327
"MVMR-IVW","2","1e-04",1.105,0.088,0.932,1.278,0.346
"MVMR-IVW","2","1e-06",1.088,0.093,0.906,1.271,0.365
"MVMR-IVW","2","1e-08",1.052,0.102,0.853,1.252,0.399
"GRAPPLE","2","0.01",1.009,0.414,0.197,1.82,1.623
"GRAPPLE","2","1e-04",0.661,0.564,-0.444,1.765,2.209
"GRAPPLE","2","1e-06",0.675,0.513,-0.331,1.681,2.012
"GRAPPLE","2","1e-08",0.434,0.498,-0.542,1.41,1.952
"MVMR-Egger","2","0.01",1.086,0.106,0.878,1.294,0.416
"MVMR-Egger","2","1e-04",1.032,0.116,0.805,1.26,0.455
"MVMR-Egger","2","1e-06",1.031,0.123,0.79,1.271,0.481
"MVMR-Egger","2","1e-08",1.009,0.137,0.741,1.277,0.536
"MVMR-Robust","2","0.01",1.186,0.096,0.997,1.375,0.378
"MVMR-Robust","2","1e-04",1.146,0.098,0.955,1.338,0.383
"MVMR-Robust","2","1e-06",1.105,0.1,0.909,1.301,0.392
"MVMR-Robust","2","1e-08",1.061,0.105,0.854,1.267,0.413
"MVMR-cML","2","0.01",0.082,0.267,-0.441,0.605,1.046
"MVMR-cML","2","1e-04",-0.016,0.31,-0.624,0.592,1.216
"MVMR-cML","2","1e-06",-0.09,0.352,-0.78,0.6,1.38
"MVMR-cML","2","1e-08",-0.288,0.372,-1.016,0.44,1.456
"FLOW-MR","2","0.01",0.768,0.24,0.29,1.232,0.942
"FLOW-MR","2","1e-04",0.718,0.248,0.204,1.183,0.979
"FLOW-MR","2","1e-06",0.753,0.244,0.257,1.228,0.971
"FLOW-MR","2","1e-08",0.751,0.229,0.306,1.201,0.895
"MVMR-Horse","2","0.01",1.219,0.099,1.029,1.42,0.391
"MVMR-Horse","2","1e-04",1.151,0.104,0.946,1.359,0.413
"MVMR-Horse","2","1e-06",1.097,0.101,0.901,1.303,0.402
"MVMR-Horse","2","1e-08",1.041,0.108,0.829,1.255,0.426
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
"MVMR-IVW","2","0.01",1.293,0.088,1.121,1.464,0.343
"MVMR-IVW","2","1e-04",1.308,0.096,1.121,1.496,0.375
"MVMR-IVW","2","1e-06",1.237,0.101,1.039,1.436,0.397
"MVMR-IVW","2","1e-08",1.235,0.108,1.022,1.447,0.425
"GRAPPLE","2","0.01",1.371,0.41,0.567,2.176,1.609
"GRAPPLE","2","1e-04",1.507,0.374,0.774,2.239,1.465
"GRAPPLE","2","1e-06",1.306,0.321,0.677,1.935,1.258
"GRAPPLE","2","1e-08",1.325,0.27,0.795,1.855,1.06
"MVMR-Egger","2","0.01",1.246,0.113,1.024,1.468,0.444
"MVMR-Egger","2","1e-04",1.283,0.127,1.034,1.531,0.497
"MVMR-Egger","2","1e-06",1.335,0.136,1.067,1.602,0.535
"MVMR-Egger","2","1e-08",1.324,0.151,1.029,1.619,0.59
"MVMR-Robust","2","0.01",1.349,0.085,1.182,1.517,0.335
"MVMR-Robust","2","1e-04",1.374,0.091,1.196,1.551,0.355
"MVMR-Robust","2","1e-06",1.307,0.094,1.124,1.491,0.367
"MVMR-Robust","2","1e-08",1.317,0.097,1.127,1.507,0.38
"MVMR-cML","2","0.01",0.351,0.238,-0.116,0.819,0.935
"MVMR-cML","2","1e-04",0.584,0.24,0.113,1.055,0.942
"MVMR-cML","2","1e-06",0.229,0.277,-0.314,0.771,1.085
"MVMR-cML","2","1e-08",0.563,0.241,0.091,1.035,0.944
"FLOW-MR","2","0.01",1.162,0.204,0.713,1.521,0.808
"FLOW-MR","2","1e-04",1.163,0.226,0.676,1.572,0.896
"FLOW-MR","2","1e-06",1.097,0.225,0.622,1.512,0.89
"FLOW-MR","2","1e-08",1.114,0.228,0.641,1.536,0.895
"MVMR-Horse","2","0.01",1.343,0.091,1.167,1.522,0.355
"MVMR-Horse","2","1e-04",1.379,0.098,1.19,1.562,0.372
"MVMR-Horse","2","1e-06",1.306,0.096,1.116,1.496,0.38
"MVMR-Horse","2","1e-08",1.317,0.098,1.125,1.512,0.387
"FLOW-MR-indirect","2","0.01",0,0,0,0,0
"FLOW-MR-indirect","2","1e-04",0,0,0,0,0
"FLOW-MR-indirect","2","1e-06",0,0,0,0,0
"FLOW-MR-indirect","2","1e-08",0,0,0,0,0
"MVMR-IVW","2","0.01",1.125,0.092,0.945,1.304,0.359
"MVMR-IVW","2","1e-04",1.115,0.094,0.931,1.299,0.368
"MVMR-IVW","2","1e-06",1.088,0.096,0.9,1.276,0.376
"MVMR-IVW","2","1e-08",1.161,0.103,0.96,1.362,0.402
"GRAPPLE","2","0.01",-1.703,2.366,-6.34,2.934,9.274
"GRAPPLE","2","1e-04",-0.686,1.217,-3.072,1.7,4.772
"GRAPPLE","2","1e-06",-0.023,0.6,-1.199,1.153,2.352
"GRAPPLE","2","1e-08",0.508,0.541,-0.552,1.568,2.12
"MVMR-Egger","2","0.01",1.146,0.116,0.918,1.373,0.455
"MVMR-Egger","2","1e-04",1.107,0.122,0.869,1.346,0.477
"MVMR-Egger","2","1e-06",1.096,0.13,0.842,1.351,0.509
"MVMR-Egger","2","1e-08",1.208,0.139,0.936,1.48,0.544
"MVMR-Robust","2","0.01",1.06,0.078,0.906,1.213,0.307
"MVMR-Robust","2","1e-04",1.049,0.079,0.894,1.205,0.311
